wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath,dispersion_px_per_nm,resolution_nm
1631,647.530264,643,262.565963,scan_blocks_output/B7_1301_1700/00165_1631nm.npy,0.04392000000001417,91.07468123858628
1633,647.613156,643,262.648855,scan_blocks_output/B7_1301_1700/00166_1633nm.npy,0.04245199999999727,94.22406482616266
1635,647.700072,643,262.735771,scan_blocks_output/B7_1301_1700/00167_1635nm.npy,0.07285774999999717,54.90150327178859
1637,647.904587,643,262.940286,scan_blocks_output/B7_1301_1700/00168_1637nm.npy,0.07828125000000341,51.09780439121534
1639,648.013197,643,263.048896,scan_blocks_output/B7_1301_1700/00169_1639nm.npy,0.0534150000000011,74.88533183562515
1641,648.118247,643,263.153946,scan_blocks_output/B7_1301_1700/00170_1641nm.npy,0.056319250000001375,71.02367307803108
1643,648.238474,644,263.274173,scan_blocks_output/B7_1301_1700/00171_1643nm.npy,0.09008249999999407,44.40374101518345
1645,648.478577,644,263.514276,scan_blocks_output/B7_1301_1700/00172_1645nm.npy,0.08365000000000578,47.818290496111466
1647,648.573074,644,263.608773,scan_blocks_output/B7_1301_1700/00173_1647nm.npy,0.05241350000000011,76.31621624199856
1649,648.688231,645,263.72393,scan_blocks_output/B7_1301_1700/00174_1649nm.npy,0.05491050000000541,72.84581273161974
1651,648.792716,645,263.828415,scan_blocks_output/B7_1301_1700/00175_1651nm.npy,0.08666350000001444,46.155532605991375
1653,649.034885,645,264.070584,scan_blocks_output/B7_1301_1700/00176_1653nm.npy,0.08143824999999083,49.11696899184904
1655,649.118469,646,264.154168,scan_blocks_output/B7_1301_1700/00177_1655nm.npy,0.05038675000000126,79.38594967922917
1657,649.236432,646,264.27213,scan_blocks_output/B7_1301_1700/00178_1657nm.npy,0.05308675000000562,75.34836847235094
1659,649.330816,646,264.366515,scan_blocks_output/B7_1301_1700/00179_1659nm.npy,0.08093324999998686,49.423444628760734
1661,649.560165,646,264.595864,scan_blocks_output/B7_1301_1700/00180_1661nm.npy,0.08642649999998753,46.282100975980484
1663,649.676522,647,264.712221,scan_blocks_output/B7_1301_1700/00181_1663nm.npy,0.05398825000000329,74.09019555180537
1665,649.776118,647,264.811817,scan_blocks_output/B7_1301_1700/00182_1665nm.npy,0.08846900000000346,45.21357763736273
