wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath
701,511.763116,510,0.000000,scan_blocks_output/B5_0701_1000/00000_0701nm.npy
703,517.437910,518,5.674794,scan_blocks_output/B5_0701_1000/00001_0703nm.npy
705,496.872494,496,-14.890622,scan_blocks_output/B5_0701_1000/00002_0705nm.npy
707,519.515217,518,7.752101,scan_blocks_output/B5_0701_1000/00003_0707nm.npy
709,519.522154,518,7.759038,scan_blocks_output/B5_0701_1000/00004_0709nm.npy
711,519.694718,518,7.931602,scan_blocks_output/B5_0701_1000/00005_0711nm.npy
713,519.928293,518,8.165177,scan_blocks_output/B5_0701_1000/00006_0713nm.npy
715,519.872993,518,8.109877,scan_blocks_output/B5_0701_1000/00007_0715nm.npy
717,520.060818,518,8.297702,scan_blocks_output/B5_0701_1000/00008_0717nm.npy
719,520.145957,518,8.382841,scan_blocks_output/B5_0701_1000/00009_0719nm.npy
721,520.243908,518,8.480791,scan_blocks_output/B5_0701_1000/00010_0721nm.npy
723,520.511148,518,8.748032,scan_blocks_output/B5_0701_1000/00011_0723nm.npy
725,542.578567,550,30.815451,scan_blocks_output/B5_0701_1000/00012_0725nm.npy
727,542.707632,550,30.944516,scan_blocks_output/B5_0701_1000/00013_0727nm.npy
729,542.798342,550,31.035226,scan_blocks_output/B5_0701_1000/00014_0729nm.npy
731,542.900778,550,31.137662,scan_blocks_output/B5_0701_1000/00015_0731nm.npy
733,543.086702,550,31.323586,scan_blocks_output/B5_0701_1000/00016_0733nm.npy
735,543.144155,550,31.381039,scan_blocks_output/B5_0701_1000/00017_0735nm.npy
737,543.175717,550,31.412601,scan_blocks_output/B5_0701_1000/00018_0737nm.npy
739,543.335521,550,31.572405,scan_blocks_output/B5_0701_1000/00019_0739nm.npy
741,543.430717,550,31.667601,scan_blocks_output/B5_0701_1000/00020_0741nm.npy
743,543.514473,550,31.751357,scan_blocks_output/B5_0701_1000/00021_0743nm.npy
745,543.662768,550,31.899652,scan_blocks_output/B5_0701_1000/00022_0745nm.npy
747,543.689851,550,31.926735,scan_blocks_output/B5_0701_1000/00023_0747nm.npy
749,543.715095,550,31.951979,scan_blocks_output/B5_0701_1000/00024_0749nm.npy
751,543.664994,550,31.901878,scan_blocks_output/B5_0701_1000/00025_0751nm.npy
753,543.861691,550,32.098575,scan_blocks_output/B5_0701_1000/00026_0753nm.npy
755,543.962082,550,32.198966,scan_blocks_output/B5_0701_1000/00027_0755nm.npy
757,544.073766,550,32.310650,scan_blocks_output/B5_0701_1000/00028_0757nm.npy
759,544.232210,550,32.469094,scan_blocks_output/B5_0701_1000/00029_0759nm.npy
761,544.292720,550,32.529604,scan_blocks_output/B5_0701_1000/00030_0761nm.npy
763,544.486635,550,32.723519,scan_blocks_output/B5_0701_1000/00031_0763nm.npy
765,544.539759,550,32.776643,scan_blocks_output/B5_0701_1000/00032_0765nm.npy
767,544.642168,550,32.879052,scan_blocks_output/B5_0701_1000/00033_0767nm.npy
769,544.752880,550,32.989764,scan_blocks_output/B5_0701_1000/00034_0769nm.npy
771,544.870537,550,33.107421,scan_blocks_output/B5_0701_1000/00035_0771nm.npy
773,545.105121,550,33.342005,scan_blocks_output/B5_0701_1000/00036_0773nm.npy
775,545.206111,550,33.442995,scan_blocks_output/B5_0701_1000/00037_0775nm.npy
777,545.542257,550,33.779140,scan_blocks_output/B5_0701_1000/00038_0777nm.npy
779,545.770832,550,34.007716,scan_blocks_output/B5_0701_1000/00039_0779nm.npy
781,545.957674,550,34.194558,scan_blocks_output/B5_0701_1000/00040_0781nm.npy
783,546.154516,550,34.391400,scan_blocks_output/B5_0701_1000/00041_0783nm.npy
785,546.403379,550,34.640263,scan_blocks_output/B5_0701_1000/00042_0785nm.npy
787,546.485713,550,34.722597,scan_blocks_output/B5_0701_1000/00043_0787nm.npy
789,546.668734,550,34.905618,scan_blocks_output/B5_0701_1000/00044_0789nm.npy
791,546.700038,550,34.936922,scan_blocks_output/B5_0701_1000/00045_0791nm.npy
793,546.891766,550,35.128650,scan_blocks_output/B5_0701_1000/00046_0793nm.npy
795,546.876220,550,35.113104,scan_blocks_output/B5_0701_1000/00047_0795nm.npy
797,546.982843,550,35.219727,scan_blocks_output/B5_0701_1000/00048_0797nm.npy
799,547.083469,550,35.320353,scan_blocks_output/B5_0701_1000/00049_0799nm.npy
801,546.980703,550,35.217587,scan_blocks_output/B5_0701_1000/00050_0801nm.npy
803,547.117285,550,35.354169,scan_blocks_output/B5_0701_1000/00051_0803nm.npy
805,547.140251,550,35.377135,scan_blocks_output/B5_0701_1000/00052_0805nm.npy
807,547.319216,550,35.556100,scan_blocks_output/B5_0701_1000/00053_0807nm.npy
809,547.222103,550,35.458987,scan_blocks_output/B5_0701_1000/00054_0809nm.npy
811,547.211945,550,35.448829,scan_blocks_output/B5_0701_1000/00055_0811nm.npy
813,547.307158,550,35.544042,scan_blocks_output/B5_0701_1000/00056_0813nm.npy
815,547.445759,550,35.682643,scan_blocks_output/B5_0701_1000/00057_0815nm.npy
817,547.477078,550,35.713962,scan_blocks_output/B5_0701_1000/00058_0817nm.npy
819,547.648647,550,35.885531,scan_blocks_output/B5_0701_1000/00059_0819nm.npy
821,547.749067,550,35.985951,scan_blocks_output/B5_0701_1000/00060_0821nm.npy
823,547.830762,550,36.067646,scan_blocks_output/B5_0701_1000/00061_0823nm.npy
825,547.989471,550,36.226355,scan_blocks_output/B5_0701_1000/00062_0825nm.npy
827,548.206837,550,36.443721,scan_blocks_output/B5_0701_1000/00063_0827nm.npy
829,548.446315,550,36.683199,scan_blocks_output/B5_0701_1000/00064_0829nm.npy
831,574.981345,582,63.218229,scan_blocks_output/B5_0701_1000/00065_0831nm.npy
833,575.040473,582,63.277357,scan_blocks_output/B5_0701_1000/00066_0833nm.npy
835,575.211759,582,63.448643,scan_blocks_output/B5_0701_1000/00067_0835nm.npy
837,575.442036,582,63.678920,scan_blocks_output/B5_0701_1000/00068_0837nm.npy
839,578.308390,585,66.545274,scan_blocks_output/B5_0701_1000/00069_0839nm.npy
841,578.608068,585,66.844952,scan_blocks_output/B5_0701_1000/00070_0841nm.npy
843,579.049996,585,67.286880,scan_blocks_output/B5_0701_1000/00071_0843nm.npy
845,579.118417,585,67.355301,scan_blocks_output/B5_0701_1000/00072_0845nm.npy
847,581.036063,587,69.272947,scan_blocks_output/B5_0701_1000/00073_0847nm.npy
849,582.240041,588,70.476925,scan_blocks_output/B5_0701_1000/00074_0849nm.npy
851,582.531484,588,70.768368,scan_blocks_output/B5_0701_1000/00075_0851nm.npy
