wavelength_nm,x_centroid_px,x_peak_px,displacement_px,filepath
1301,629.758022,629,0.000000,scan_blocks_output/B7_1301_1700/00000_1301nm.npy
1303,629.926165,629,0.168142,scan_blocks_output/B7_1301_1700/00001_1303nm.npy
1305,629.784323,630,0.026301,scan_blocks_output/B7_1301_1700/00002_1305nm.npy
1307,629.837201,630,0.079179,scan_blocks_output/B7_1301_1700/00003_1307nm.npy
1309,629.891499,630,0.133477,scan_blocks_output/B7_1301_1700/00004_1309nm.npy
1311,630.239360,630,0.481338,scan_blocks_output/B7_1301_1700/00005_1311nm.npy
1313,630.312656,630,0.554633,scan_blocks_output/B7_1301_1700/00006_1313nm.npy
1315,630.384190,630,0.626167,scan_blocks_output/B7_1301_1700/00007_1315nm.npy
1317,630.447329,630,0.689306,scan_blocks_output/B7_1301_1700/00008_1317nm.npy
1319,630.528245,630,0.770223,scan_blocks_output/B7_1301_1700/00009_1319nm.npy
1321,630.591599,630,0.833577,scan_blocks_output/B7_1301_1700/00010_1321nm.npy
1323,630.656375,630,0.898353,scan_blocks_output/B7_1301_1700/00011_1323nm.npy
1325,630.725463,630,0.967441,scan_blocks_output/B7_1301_1700/00012_1325nm.npy
1327,630.778566,630,1.020544,scan_blocks_output/B7_1301_1700/00013_1327nm.npy
1329,630.834495,630,1.076473,scan_blocks_output/B7_1301_1700/00014_1329nm.npy
1331,631.035129,630,1.277107,scan_blocks_output/B7_1301_1700/00015_1331nm.npy
1333,631.103504,630,1.345482,scan_blocks_output/B7_1301_1700/00016_1333nm.npy
1335,631.165104,630,1.407082,scan_blocks_output/B7_1301_1700/00017_1335nm.npy
1337,631.225186,630,1.467163,scan_blocks_output/B7_1301_1700/00018_1337nm.npy
1339,631.414955,630,1.656933,scan_blocks_output/B7_1301_1700/00019_1339nm.npy
1341,631.477002,630,1.718980,scan_blocks_output/B7_1301_1700/00020_1341nm.npy
1343,631.547300,630,1.789278,scan_blocks_output/B7_1301_1700/00021_1343nm.npy
1345,631.608243,630,1.850220,scan_blocks_output/B7_1301_1700/00022_1345nm.npy
1347,631.680413,631,1.922391,scan_blocks_output/B7_1301_1700/00023_1347nm.npy
1349,631.734501,631,1.976479,scan_blocks_output/B7_1301_1700/00024_1349nm.npy
1351,631.811585,631,2.053562,scan_blocks_output/B7_1301_1700/00025_1351nm.npy
1353,631.891345,631,2.133323,scan_blocks_output/B7_1301_1700/00026_1353nm.npy
1355,631.946905,631,2.188883,scan_blocks_output/B7_1301_1700/00027_1355nm.npy
1357,632.015199,631,2.257177,scan_blocks_output/B7_1301_1700/00028_1357nm.npy
